srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
59.166.0.6,31604,149.171.126.4,30274,tcp,FIN,0.004588,3880,2456,31,29,7,7,-,6390584.0,4045335.75,18,18,255,255,3879171563,3882293313,216,136,0,0,12.528214,0.318695,1421932596,1421932596,0.252353,0.241824,0.000583,0.000472,0.000111,0,0,0.0,0,0,8,8,3,3,1,1,2,,0
59.166.0.4,55317,149.171.126.8,22,tcp,FIN,0.969891,3728,5474,31,29,7,7,ssh,29793.03906,43270.83984,32,24,255,255,1748654054,1748954040,117,228,0,0,2614.597754,86.210344,1421946620,1421946621,31.286806,42.137176,0.000732,0.000596,0.000136,0,0,0.0,0,0,4,2,2,3,1,1,1,,0
149.171.126.14,1043,175.45.176.1,53,udp,INT,9e-06,264,0,60,0,0,0,dns,117333328.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424252493,1424252493,0.009,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,29,29,23,23,23,23,29,,0
175.45.176.0,36079,149.171.126.16,110,tcp,FIN,0.775059,950,3832,62,252,7,8,pop3,9320.581055,37581.65625,20,20,255,255,370058457,1617616808,48,192,0,0,1996.191435,49.548035,1424233693,1424233694,40.792578,39.165895,0.083126,0.025876,0.05725,0,1,0.0,0,-1,1,1,1,1,1,1,1,,1
59.166.0.2,38016,149.171.126.6,44115,tcp,FIN,0.012549,2542,23278,31,29,7,14,-,1580365.0,14486573.0,40,42,255,255,2071927666,4221779305,64,554,0,0,18.738267,16.511662,1424237379,1424237379,0.339278,0.306872,0.000719,0.000578,0.000141,0,0,0.0,0,-1,2,5,3,4,1,1,2,,0
175.45.176.1,1043,149.171.126.14,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424254063,1424254063,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,30,30,12,13,12,12,30,,1
149.171.126.15,1043,175.45.176.3,53,udp,INT,3e-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424246280,1424246280,0.003,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,31,31,31,31,31,15,31,,0
59.166.0.7,57446,149.171.126.3,111,udp,CON,0.005625,568,304,31,29,0,0,-,605866.625,324266.6563,4,4,0,0,0,0,142,76,0,0,2.152905,1.963637,1421964074,1421964074,1.528333,1.393,0.0,0.0,0.0,0,0,0.0,0,0,4,11,4,3,1,1,3,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,3e-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424260583,1424260583,0.003,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,37,37,37,37,37,19,37,,0
175.45.176.1,36888,149.171.126.17,80,tcp,RST,0.332081,258,86,254,60,1,1,-,5179.459473,1035.891846,6,2,255,255,1645380956,2445591684,43,43,0,0,4215.302441,0.0,1424227119,1424227119,66.4162,0.002,0.295902,0.241515,0.054387,0,0,0.0,0,-1,25,25,7,7,7,1,25,,0
59.166.0.1,23708,149.171.126.7,80,tcp,FIN,1.081831,1684,10168,31,29,3,5,http,11565.57715,71020.33594,14,18,255,255,3021100713,876774133,120,565,1,3924,8789.053443,7696.07495,1421945974,1421945975,83.190921,63.606,0.000679,0.000525,0.000154,0,0,1.0,0,0,2,3,2,2,1,1,1,,0
149.171.126.15,47439,175.45.176.3,53,udp,INT,3e-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424244969,1424244969,0.003,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,12,12,12,12,12,12,12,,0
59.166.0.8,64999,149.171.126.5,6881,tcp,FIN,0.017814,1540,1644,31,29,4,4,-,648478.75,697429.0,16,18,255,255,1259752648,1264445833,96,91,0,0,70.637373,2.089012,1424219936,1424219936,1.167467,1.020647,0.000578,0.00046,0.000118,0,0,0.0,0,-1,6,15,6,8,6,1,6,,0
175.45.176.3,1043,149.171.126.18,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424230259,1424230259,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,41,41,23,23,23,23,41,,1
59.166.0.2,59533,149.171.126.4,53,udp,CON,0.000977,130,162,31,29,0,0,dns,532241.5625,663254.875,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421943518,1421943518,0.001,0.007,0.0,0.0,0.0,0,0,0.0,0,0,3,1,4,7,1,1,1,,0
59.166.0.8,49403,149.171.126.2,47041,tcp,FIN,0.373923,320,1916,31,29,1,2,ftp-data,5712.405762,35879.04297,6,8,255,255,6096838,2411543375,53,240,0,0,5273.575138,130.343117,1421942773,1421942774,74.7106,53.349145,0.0006,0.000475,0.000125,0,0,0.0,0,0,3,3,7,6,1,1,4,,0
59.166.0.4,35026,149.171.126.1,53,udp,CON,0.001057,146,178,31,29,0,0,dns,552507.0625,673604.5,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421945215,1421945215,0.01,0.006,0.0,0.0,0.0,0,0,0.0,0,0,3,2,8,6,4,4,6,,0
59.166.0.2,61175,149.171.126.1,61705,tcp,FIN,0.492912,4688,3080,31,29,7,7,-,73376.17969,48333.17188,28,30,255,255,30825752,2183689551,167,103,0,0,1099.253711,28.757949,1421937787,1421937787,18.244408,16.978,0.000688,0.000545,0.000143,0,0,0.0,0,0,15,8,4,6,1,1,3,,0
149.171.126.15,1043,175.45.176.3,53,udp,INT,8e-06,264,0,60,0,0,0,dns,132000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424246628,1424246628,0.008,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,23,23,23,23,23,23,23,,0
59.166.0.6,15984,149.171.126.5,25,tcp,FIN,0.683809,37232,3276,31,29,18,8,-,427207.0313,37378.85938,52,40,255,255,938915991,968181216,716,82,0,0,1126.998924,37.113066,1421945580,1421945581,13.401275,17.520385,0.000682,0.00051,0.000172,0,0,0.0,0,0,10,10,7,6,3,3,3,,0
149.171.126.18,47439,175.45.176.1,53,udp,INT,7e-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424237551,1424237551,0.007,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,33,33,20,20,20,11,33,,0
59.166.0.7,5381,149.171.126.8,80,tcp,FIN,1.131004,1684,10168,31,29,3,5,http,11062.73731,67932.5625,14,18,255,255,2893975140,745451412,120,565,1,3924,8825.655915,7735.910573,1424230254,1424230255,86.971002,66.498059,0.000662,0.000534,0.000128,0,0,1.0,0,-1,3,3,2,4,2,1,1,,0
59.166.0.7,1126,149.171.126.5,17702,tcp,FIN,0.009913,2230,14740,31,29,7,11,-,1747200.625,11565419.0,34,36,255,255,4259825214,4266717517,66,409,0,0,0.0,17.789382,1424241387,1424241387,0.299812,0.267114,0.000712,0.00056,0.000152,0,0,0.0,0,-1,5,6,4,5,1,1,2,,0
175.45.176.0,1043,149.171.126.10,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424259076,1424259076,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,43,43,43,43,43,31,43,,1
59.166.0.2,60223,149.171.126.5,22,tcp,CON,10.635051,38896,51294,31,29,116,150,ssh,37109.58203,48945.98828,490,529,255,255,1104726713,3254666290,79,97,0,0,1230.757334,1184.061566,1421964364,1421964373,17.11264,15.846007,0.000792,0.00066,0.000132,0,0,0.0,0,0,3,2,6,5,4,2,2,,0
59.166.0.8,54072,149.171.126.1,22,tcp,FIN,1.714765,12472,12716,31,29,17,17,ssh,57355.96484,58340.35547,70,60,255,255,2714300963,569206167,178,212,0,0,1725.954066,1838.642144,1424244925,1424244926,25.593507,29.052763,0.000642,0.000526,0.000116,0,0,0.0,0,-1,1,1,3,3,1,1,2,,0
175.45.176.3,47439,149.171.126.15,53,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424248207,1424248207,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,30,30,22,22,22,10,30,,1
59.166.0.5,60697,149.171.126.1,23653,tcp,FIN,1.216256,4288,3080,31,29,7,7,-,27198.2207,19587.98047,28,30,255,255,3195526094,1164812491,153,103,0,0,2590.488162,66.993437,1424244822,1424244823,45.035113,41.919484,0.00072,0.000588,0.000132,0,0,0.0,0,-1,3,3,2,1,1,1,1,,0
59.166.0.3,39967,149.171.126.8,10265,tcp,FIN,0.106283,4862,79882,31,29,7,36,-,361675.9063,5942926.0,84,86,255,255,909126112,3068578281,58,929,0,0,83.460655,77.364497,1424229649,1424229649,1.291854,1.258821,0.000684,0.000539,0.000145,0,0,0.0,0,-1,3,5,1,6,1,1,1,,0
149.171.126.15,47439,175.45.176.3,53,udp,INT,9e-06,264,0,60,0,0,0,dns,117333328.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424244644,1424244644,0.009,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,51,51,36,36,36,11,51,,0
59.166.0.6,10596,149.171.126.5,53,udp,CON,0.001045,130,162,31,29,0,0,dns,497607.625,620095.6875,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421958351,1421958351,0.01,0.008,0.0,0.0,0.0,0,0,0.0,0,0,1,3,2,1,1,1,1,,0
59.166.0.3,16109,149.171.126.3,80,tcp,FIN,1.005685,1580,10168,31,29,3,5,http,11526.47266,76397.67969,12,18,255,255,4105255095,4102108058,132,565,1,3924,9530.054929,7674.776996,1421953628,1421953629,91.393453,59.125822,0.000676,0.000542,0.000134,0,0,1.0,0,0,2,1,5,3,1,1,1,,0
59.166.0.1,64615,149.171.126.1,80,tcp,FIN,0.02217,1046,824,31,29,2,2,http,330536.75,267749.2188,8,10,255,255,792447381,2943224804,131,82,1,83,177.569902,4.434678,1421963863,1421963863,3.110143,2.377667,0.000923,0.000767,0.000156,0,0,1.0,0,0,2,2,4,8,1,1,2,,0
59.166.0.4,40666,149.171.126.2,5190,tcp,FIN,0.077026,1958,2308,31,29,6,6,-,194116.2656,229740.5938,22,24,255,255,3264781041,1119739679,89,96,0,0,356.020185,340.670366,1421961555,1421961555,3.650952,3.321565,0.000776,0.000618,0.000158,0,0,0.0,0,0,5,5,2,1,1,1,1,,0
59.166.0.7,7419,149.171.126.5,25,tcp,FIN,0.028738,37262,3380,31,29,18,8,smtp,10173568.0,918644.3125,52,42,255,255,833394370,2979788657,717,80,0,0,32.014485,1.587965,1421946013,1421946013,0.556686,0.688805,0.000625,0.000493,0.000132,0,0,0.0,0,0,2,1,4,1,1,1,1,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,7e-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424260109,1424260109,0.007,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,31,31,31,31,31,16,31,,0
175.45.176.3,3853,149.171.126.15,80,tcp,FIN,0.97141,68189,612,254,252,26,0,http,552211.75,4685.972168,60,14,255,255,1019502545,258093840,1136,44,1,0,260741.2879,16439.755,1424260230,1424260230,1080.119192,4630.267,0.102501,0.061833,0.040668,0,1,4.0,0,-1,3,3,2,5,2,2,3,,1
59.166.0.9,30032,149.171.126.7,53,udp,CON,0.00104,146,178,31,29,0,0,dns,561538.4375,684615.375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424236714,1424236714,0.009,0.007,0.0,0.0,0.0,0,0,0.0,0,-1,2,3,2,2,1,1,1,,0
59.166.0.0,35468,149.171.126.7,53,udp,CON,0.001011,130,162,31,29,0,0,dns,514342.2188,640949.5625,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424222887,1424222887,0.001,0.007,0.0,0.0,0.0,0,0,0.0,0,-1,2,2,1,4,1,1,1,,0
175.45.176.2,47245,149.171.126.17,111,udp,INT,3e-06,168,0,254,0,0,0,-,224000000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424238364,1424238364,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,5,2,1,1,1,1,1,,1
59.166.0.8,1992,149.171.126.9,63854,tcp,FIN,0.028027,2958,32368,31,29,7,18,-,826916.875,9054412.0,48,50,255,255,3972809496,3973084009,62,647,0,0,36.96745,35.637957,1424229279,1424229279,0.589681,0.55949,0.000766,0.000607,0.000159,0,0,0.0,0,-1,5,3,2,4,1,1,1,,0
59.166.0.9,50345,149.171.126.3,53,udp,CON,0.001062,130,162,31,29,0,0,dns,489642.1563,610169.4375,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421929554,1421929554,0.01,0.008,0.0,0.0,0.0,0,0,0.0,0,0,3,6,7,3,2,1,1,,0
59.166.0.2,5027,149.171.126.1,48658,tcp,FIN,0.131693,3926,54352,31,29,7,27,-,234909.9688,3253202.5,66,68,255,255,115050148,115313329,59,799,0,0,109.490785,107.8281,1421972641,1421972641,2.0206,1.957328,0.000677,0.000545,0.000132,0,0,0.0,0,0,11,8,5,7,1,1,3,,0
149.171.126.18,1043,175.45.176.3,53,udp,INT,4e-06,264,0,60,0,0,0,dns,264000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424230944,1424230944,0.004,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,40,40,15,15,15,15,40,,0
59.166.0.9,36893,149.171.126.5,37211,tcp,FIN,0.038101,2542,21834,31,29,7,14,-,520511.2813,4475473.0,40,42,255,255,865775571,3015649312,64,520,0,0,64.500395,60.538022,1421945988,1421945988,0.990921,0.916244,0.000678,0.000527,0.000151,0,0,0.0,0,0,10,8,4,4,1,1,1,,0
59.166.0.8,10635,149.171.126.8,6881,tcp,FIN,0.469863,1540,1644,31,29,4,4,-,24585.89063,26441.75,16,18,255,255,2016584710,2100265352,96,91,0,0,2136.976307,52.392887,1421951638,1421951639,31.301868,27.573705,0.001239,0.001106,0.000133,0,0,0.0,0,0,13,7,4,4,2,1,2,,0
59.166.0.3,27365,149.171.126.7,6881,tcp,FIN,0.357464,6666,239062,31,29,11,87,-,147841.4688,5323165.5,110,198,255,255,2746672556,625226952,61,1207,0,0,278.353011,209.28109,1424245619,1424245619,3.276275,1.812117,0.0006,0.000473,0.000127,0,0,0.0,0,-1,6,13,12,6,5,1,5,,0
149.171.126.14,47439,175.45.176.1,53,udp,INT,1e-06,264,0,60,0,0,0,dns,1056000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424252059,1424252059,0.001,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,22,22,15,15,15,15,22,,0
59.166.0.0,18394,149.171.126.8,37580,tcp,FIN,0.024701,2766,27770,31,29,7,16,-,875754.0625,8798672.0,44,46,255,255,1468185374,3618044974,63,604,0,0,41.362275,34.279065,1424222878,1424222878,0.579714,0.536422,0.000681,0.000555,0.000126,0,0,0.0,0,-1,7,8,3,5,1,1,2,,0
175.45.176.2,2006,149.171.126.16,445,tcp,FIN,1.249052,1048,792,254,252,3,2,-,6155.067871,4566.663086,12,10,255,255,3216169292,174319087,87,79,0,0,6840.736643,167.492891,1424227596,1424227598,109.800365,124.238555,0.236984,0.130897,0.106087,0,1,0.0,0,-1,2,2,1,1,1,1,2,,0
59.166.0.3,26742,149.171.126.3,6517,tcp,FIN,0.37611,320,1942,31,29,1,2,ftp-data,5679.189941,36159.63672,6,8,255,255,2020860743,3729063613,53,243,0,0,5301.47828,131.008312,1421960238,1421960239,75.142,53.639855,0.000757,0.0006,0.000157,0,0,0.0,0,0,6,6,6,3,1,1,3,,0
59.166.0.9,31980,149.171.126.9,22714,udp,CON,0.001685,528,304,31,29,0,0,-,1880118.625,1082492.625,4,4,0,0,0,0,132,76,0,0,0.613063,0.285203,1424227911,1424227911,0.436,0.206667,0.0,0.0,0.0,0,0,0.0,0,-1,3,3,3,3,1,1,3,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424251687,1424251687,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,31,31,18,18,18,18,31,,1
59.166.0.6,21299,149.171.126.3,53,udp,CON,0.001014,146,178,31,29,0,0,dns,575936.875,702169.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421964746,1421964746,0.003,0.009,0.0,0.0,0.0,0,0,0.0,0,0,2,2,2,2,1,1,1,,0
59.166.0.4,12745,149.171.126.1,5190,tcp,FIN,0.004263,1470,1728,31,29,5,4,-,2634764.25,3011963.25,22,14,255,255,4102956154,1957870540,67,123,0,0,12.523893,0.367867,1424253388,1424253388,0.203,0.278,0.000627,0.000515,0.000112,0,0,0.0,0,-1,2,5,2,1,1,1,1,,0
59.166.0.5,4773,149.171.126.3,51372,tcp,FIN,0.044604,3182,36578,31,29,7,20,-,559770.4375,6439064.0,52,54,255,255,67271807,2217157090,61,677,0,0,58.025437,54.514939,1424251678,1424251678,0.867784,0.830642,0.000696,0.000571,0.000125,0,0,0.0,0,-1,2,3,1,3,1,1,1,,0
59.166.0.0,11464,149.171.126.0,80,tcp,FIN,0.004046,1036,824,31,29,2,2,http,1793376.125,1467128.0,8,10,255,255,2742232703,593736765,130,82,1,83,33.427664,0.694802,1421948586,1421948586,0.526714,0.388889,0.000693,0.000541,0.000152,0,0,1.0,0,0,4,1,3,9,2,1,1,,0
59.166.0.6,18875,149.171.126.9,6881,tcp,FIN,0.019554,1540,1644,31,29,4,4,-,590774.25,635368.6875,16,18,255,255,3784131729,1643375130,96,91,0,0,78.401119,2.449177,1421971810,1421971810,1.282533,1.121941,0.0006,0.000477,0.000123,0,0,0.0,0,0,9,10,11,10,6,1,6,,0
59.166.0.8,35980,149.171.126.1,37524,udp,CON,0.309174,544,304,31,29,0,0,-,10557.16211,5899.590332,4,4,0,0,0,0,136,76,0,0,131.988313,125.886695,1424254136,1424254137,93.338336,89.019336,0.0,0.0,0.0,0,0,0.0,0,-1,4,3,4,4,1,1,3,,0
59.166.0.7,35977,149.171.126.7,22,tcp,FIN,0.0266,9400,12298,31,29,26,31,ssh,2800601.5,3666466.25,106,114,255,255,1095840757,1096136564,89,108,0,0,15.263974,15.15628,1424244253,1424244253,0.2575,0.243262,0.000688,0.000562,0.000126,0,0,0.0,0,-1,2,1,2,1,1,1,2,,0
59.166.0.6,22659,149.171.126.5,80,tcp,FIN,1.006954,1580,10168,31,29,3,5,-,11511.94629,76301.40625,12,18,255,255,2655998552,511678498,132,565,2,192,9539.936507,7682.294231,1421944857,1421944858,91.508271,59.20341,0.000623,0.000489,0.000134,0,0,6.0,0,0,12,14,8,12,4,4,4,,0
59.166.0.5,2479,149.171.126.6,29701,tcp,FIN,0.223404,8928,320,31,29,4,1,ftp-data,296897.0938,9561.15332,14,6,255,255,520094838,835705777,638,53,0,0,1586.443901,67.919281,1421945838,1421945838,17.184923,44.545,0.000726,0.000544,0.000182,0,0,0.0,0,0,2,2,4,4,1,1,3,,0
59.166.0.5,40611,149.171.126.8,53,udp,CON,0.001011,146,178,31,29,0,0,dns,577645.875,704253.1875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421938134,1421938134,0.004,0.009,0.0,0.0,0.0,0,0,0.0,0,0,1,4,4,2,1,1,1,,0
59.166.0.6,15071,149.171.126.7,35320,tcp,FIN,0.030442,3992,2560,31,29,7,7,-,990999.3125,639117.0,18,20,255,255,26785155,2179545292,222,128,0,0,196.794226,5.274655,1424223116,1424223116,1.770765,1.574947,0.000644,0.000515,0.000129,0,0,0.0,0,-1,11,5,7,7,1,1,10,,0
59.166.0.4,53336,149.171.126.2,53,udp,CON,0.001112,146,178,31,29,0,0,dns,525179.875,640287.8125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421959996,1421959996,0.009,0.009,0.0,0.0,0.0,0,0,0.0,0,0,2,3,2,1,1,1,1,,0
59.166.0.7,51712,149.171.126.6,5190,tcp,FIN,0.080143,2062,2528,31,29,6,7,-,197347.25,243365.0,24,28,255,255,2934335621,785044668,86,90,0,0,351.967626,0.0,1421962728,1421962728,3.469304,2.947111,0.000683,0.00056,0.000123,0,0,0.0,0,0,3,16,2,3,1,1,1,,0
59.166.0.2,11262,149.171.126.4,80,tcp,FIN,1.131763,1684,10168,31,29,3,5,http,11055.31836,67887.00781,14,18,255,255,361342364,2511989639,120,565,1,3924,8835.018151,7736.391804,1424237247,1424237248,87.032695,66.541471,0.000686,0.000554,0.000132,0,0,1.0,0,-1,1,2,3,2,1,1,1,,0
59.166.0.2,2587,149.171.126.9,52684,tcp,FIN,0.090901,3390,44906,31,29,7,22,-,293066.0625,3883961.5,56,58,255,255,2884436899,2931767904,61,774,0,0,89.975453,88.365534,1424261547,1424261547,1.646455,1.584421,0.000721,0.000586,0.000135,0,0,0.0,0,-1,3,6,8,2,1,1,1,,0
175.45.176.3,53789,149.171.126.16,80,tcp,FIN,0.562241,804,3726,62,252,2,3,http,10301.63184,47723.30469,10,10,255,255,3097795671,2835957317,80,373,1,1418,3188.486808,3874.597118,1421928724,1421928724,62.471222,53.494333,0.097681,0.052023,0.045658,0,1,1.0,0,0,1,1,1,1,1,1,1,,1
175.45.176.0,22850,149.171.126.16,21,tcp,FIN,2.910564,1162,1696,62,252,7,9,ftp,3050.955078,4469.236816,22,24,255,255,441911064,526959850,53,71,0,0,7842.604562,8371.311935,1424247926,1424247929,138.598286,123.843607,0.124669,0.061467,0.063202,0,1,0.0,1,1,1,1,2,2,1,1,2,,1
59.166.0.3,13283,149.171.126.5,80,tcp,FIN,1.010846,1580,10168,31,29,3,5,http,11467.62207,76007.61719,12,18,255,255,3083906373,939395531,132,565,1,3924,9531.59514,7675.279101,1421935097,1421935098,91.864818,59.434351,0.000564,0.000459,0.000105,0,0,1.0,0,0,1,1,2,2,1,1,1,,0
59.166.0.2,41735,149.171.126.6,80,tcp,FIN,1.790086,1684,10168,31,29,3,5,http,6989.608398,42920.84375,14,18,255,255,899197158,937399187,120,565,1,3924,10793.46275,9445.658019,1424250459,1424250461,137.672313,105.266882,0.000688,0.000545,0.000143,0,0,1.0,0,-1,5,4,4,6,2,1,2,,0
59.166.0.1,52498,149.171.126.2,50512,tcp,FIN,0.027088,2974,33668,31,29,7,18,-,860307.1875,9744537.0,48,50,255,255,189627161,2359868530,62,673,0,0,0.0,31.818316,1424252193,1424252193,0.590711,0.541673,0.000653,0.000543,0.00011,0,0,0.0,0,-1,4,5,1,3,1,1,1,,0
59.166.0.8,60382,149.171.126.6,18882,tcp,FIN,0.023516,2750,27174,31,29,7,16,-,914441.25,9043715.0,44,46,255,255,2281689419,2309204430,63,591,0,0,0.0,35.13936,1421931502,1421931502,0.539233,0.509911,0.000727,0.000567,0.00016,0,0,0.0,0,0,7,6,3,2,1,1,2,,0
175.45.176.1,1043,149.171.126.14,53,udp,INT,4e-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424251619,1424251619,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,34,34,16,16,16,16,34,,1
