srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
59.166.0.8,10013,149.171.126.2,8804,tcp,FIN,0.552302,5032,3080,31,29,7,7,-,70294.875,43135.82031,28,30,255,255,2574623080,2701707112,180,103,0,0,1153.876458,29.480596,1424249001,1424249002,20.442444,19.028551,0.000607,0.000472,0.000135,0,0,0.0,0,-1,9,6,5,4,1,1,4,0,0
59.166.0.6,44419,149.171.126.9,53,udp,CON,0.001042,130,162,31,29,0,0,-,499040.3125,621881.0,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421933212,1421933212,0.01,0.009,0.0,0.0,0.0,0,0,0.0,0,0,17,6,4,10,2,1,3,0,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,8e-06,264,0,60,0,0,0,dns,132000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424259074,1424259074,0.008,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,27,27,27,27,27,14,27,0,0
59.166.0.6,62099,149.171.126.0,80,tcp,FIN,1.087189,1684,10168,31,29,3,5,http,11508.5791,70670.32813,14,18,255,255,3588413334,1440310401,120,565,1,3924,8790.929013,7697.804581,1421948298,1421948299,83.602151,63.916765,0.00075,0.000594,0.000156,0,0,1.0,0,0,4,1,1,3,3,1,1,0,0
175.45.176.3,0,149.171.126.19,0,ipnip,INT,9e-06,180,0,254,0,0,0,-,80000000.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1424230151,1424230151,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,4,3,3,4,4,3,3,3,1
59.166.0.5,21406,149.171.126.5,53,udp,CON,0.001044,146,178,31,29,0,0,dns,559386.9375,681992.3125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424257278,1424257278,0.009,0.007,0.0,0.0,0.0,0,0,0.0,0,-1,3,1,2,1,1,1,1,0,0
59.166.0.7,62514,149.171.126.0,53,udp,CON,0.001207,146,178,31,29,0,0,dns,483844.25,589892.3125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424220397,1424220397,0.007,0.003,0.0,0.0,0.0,0,0,0.0,0,-1,2,1,2,1,1,1,1,0,0
59.166.0.8,8331,149.171.126.7,1669,udp,CON,0.253144,520,304,31,29,0,0,-,12325.00098,7205.385254,4,4,0,0,0,0,130,76,0,0,105.132633,28.274137,1421950876,1421950877,74.346,20.002334,0.0,0.0,0.0,0,0,0.0,0,0,3,8,3,2,1,1,2,0,0
59.166.0.4,17330,149.171.126.4,53,udp,CON,0.000991,132,164,31,29,0,0,dns,532795.1875,661957.625,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1424245397,1424245397,0.009,0.007,0.0,0.0,0.0,0,0,0.0,0,-1,1,6,10,6,1,1,2,0,0
59.166.0.4,13140,149.171.126.4,5190,tcp,FIN,0.467604,2024,4312,31,29,6,6,-,33190.47656,70709.39844,24,24,255,255,2038900370,2039195190,84,180,0,0,1355.063977,37.535023,1424231244,1424231244,20.304696,20.305305,0.000709,0.000573,0.000136,0,0,0.0,0,-1,11,11,3,2,1,1,7,0,0
59.166.0.4,62001,149.171.126.4,22,tcp,FIN,0.034589,3728,5474,31,29,7,7,ssh,835410.125,1213333.75,32,24,255,255,3369030279,1224249066,117,228,0,0,101.655568,4.117472,1424232828,1424232828,1.115774,1.436696,0.001591,0.001423,0.000168,0,0,0.0,0,-1,1,1,2,6,1,1,1,0,0
59.166.0.5,34476,149.171.126.8,53,udp,CON,0.001112,146,178,31,29,0,0,dns,525179.875,640287.8125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421956309,1421956309,0.004,0.008,0.0,0.0,0.0,0,0,0.0,0,0,3,2,1,6,2,1,1,0,0
175.45.176.3,1043,149.171.126.15,53,udp,INT,6e-06,114,0,254,0,0,0,dns,76000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424245023,1424245023,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,38,38,21,23,21,21,38,4,1
59.166.0.7,1741,149.171.126.3,2080,tcp,FIN,0.031286,2230,13358,31,29,7,11,-,553602.25,3320846.25,34,36,255,255,1236990873,1237904836,66,371,0,0,109.565003,103.609921,1421947897,1421947897,0.938182,0.876371,0.000736,0.000602,0.000134,0,0,0.0,0,0,8,8,3,4,1,1,1,0,0
59.166.0.3,11180,149.171.126.9,5190,tcp,FIN,0.138505,1920,4312,31,29,6,6,-,105873.4375,238720.625,22,24,255,255,4022279918,1872998647,87,180,0,0,453.396065,433.458478,1421934920,1421934920,6.571571,5.995782,0.000741,0.000591,0.00015,0,0,0.0,0,0,2,10,5,3,2,1,2,0,0
175.45.176.3,21032,149.171.126.16,40007,tcp,FIN,0.56201,2178,268,254,252,2,1,-,27914.09375,3188.55542,10,6,255,255,689000240,4053782558,218,45,0,0,2968.04398,155.014844,1424230787,1424230787,57.202444,99.064602,0.136822,0.066684,0.070138,0,1,0.0,0,-1,1,1,1,26,1,1,1,1,1
59.166.0.9,19129,149.171.126.4,16969,tcp,FIN,0.015617,2974,31400,31,29,7,18,-,1492220.0,15763335.0,48,50,255,255,885933217,3044937235,62,628,0,0,0.0,17.688902,1424232233,1424232233,0.3398,0.314,0.000672,0.000542,0.00013,0,0,0.0,0,-1,4,3,2,8,1,1,2,0,0
59.166.0.5,64946,149.171.126.9,53,udp,CON,0.001011,146,178,31,29,0,0,dns,577645.875,704253.1875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424249768,1424249768,0.009,0.005,0.0,0.0,0.0,0,0,0.0,0,-1,4,2,2,1,1,1,1,0,0
59.166.0.2,59294,149.171.126.2,53,udp,CON,0.001068,146,178,31,29,0,0,dns,546816.5,666666.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421952959,1421952959,0.01,0.009,0.0,0.0,0.0,0,0,0.0,0,0,2,3,2,5,1,1,1,0,0
59.166.0.3,56480,149.171.126.8,29146,tcp,FIN,0.051875,5174,86068,31,29,7,39,-,789127.75,13128945.0,90,92,255,255,442098612,2591984915,57,936,0,0,38.702796,38.103123,1424249452,1424249452,0.585932,0.563187,0.000781,0.000616,0.000165,0,0,0.0,0,-1,2,8,1,3,1,1,1,0,0
175.45.176.1,47439,149.171.126.18,53,udp,INT,8e-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424237757,1424237757,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,35,35,21,21,20,20,35,4,1
59.166.0.8,62025,149.171.126.2,53,udp,CON,0.001013,146,178,31,29,0,0,dns,576505.4375,702862.75,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421972419,1421972419,0.011,0.01,0.0,0.0,0.0,0,0,0.0,0,0,1,3,4,1,1,1,1,0,0
59.166.0.6,15213,149.171.126.7,63684,tcp,FIN,0.20403,2438,15722,31,29,7,12,-,93084.34375,600264.625,38,38,255,255,1651420878,1652479512,64,414,0,0,449.135917,13.002013,1421972397,1421972397,5.504946,5.468081,0.002027,0.001703,0.000324,0,0,0.0,0,0,11,7,3,5,1,1,1,0,0
59.166.0.8,13134,149.171.126.5,80,tcp,FIN,1.198058,1684,10168,31,29,3,5,http,10443.56738,64130.44922,14,18,255,255,13970655,15002548,120,565,1,3924,10293.00556,9010.589454,1421961460,1421961461,92.129692,70.440882,0.000693,0.000558,0.000135,0,0,1.0,0,0,1,3,6,1,1,1,1,0,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,4e-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424253364,1424253364,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,20,20,5,5,5,4,20,4,1
149.171.126.10,1043,175.45.176.0,53,udp,INT,7e-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424259038,1424259038,0.007,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,45,45,37,37,37,24,45,0,0
175.45.176.1,34264,149.171.126.13,80,tcp,FIN,0.24921,788,5926,62,252,2,3,http,22792.02344,171229.0781,10,10,255,255,3121060460,1656218840,79,593,1,2524,1506.335756,1842.350831,1424236534,1424236534,27.69,25.575,0.057781,0.009053,0.048728,0,1,1.0,0,-1,1,1,1,1,1,1,1,1,1
149.171.126.12,1043,175.45.176.0,53,udp,INT,7e-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424223684,1424223684,0.007,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,17,17,16,16,16,8,17,0,0
59.166.0.2,62683,149.171.126.1,80,tcp,FIN,1.266274,1684,10168,31,29,3,5,http,9880.958008,60675.65234,14,18,255,255,3037479537,898498664,120,565,1,3924,8954.572741,7839.779656,1421947918,1421947919,97.377849,74.455,0.000668,0.000535,0.000133,0,0,1.0,0,0,4,2,2,5,1,1,1,0,0
175.45.176.3,47439,149.171.126.15,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424245306,1424245306,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,17,17,17,17,17,17,17,4,1
59.166.0.9,63106,149.171.126.7,53,udp,CON,0.000978,146,178,31,29,0,0,dns,597137.0,728016.375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421951154,1421951154,0.001,0.007,0.0,0.0,0.0,0,0,0.0,0,0,4,5,4,1,1,1,1,0,0
59.166.0.8,53245,149.171.126.7,80,tcp,FIN,4.178703,18474,1087890,31,29,2,370,http,35266.44531,2079941.125,346,746,255,255,2574515664,2596573558,53,1458,1,524288,700.302347,441.791952,1421928292,1421928296,12.111284,5.608305,0.000651,0.000512,0.000139,0,0,1.0,0,0,2,5,3,3,2,1,1,0,0
59.166.0.3,2703,149.171.126.5,53,udp,CON,0.001096,146,178,31,29,0,0,dns,532846.75,649635.0625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424257145,1424257145,0.009,0.007,0.0,0.0,0.0,0,0,0.0,0,-1,2,3,2,1,1,1,8,0,0
59.166.0.7,58362,149.171.126.4,53,udp,CON,0.001021,146,178,31,29,0,0,dns,571988.25,697355.5625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424261792,1424261792,0.009,0.005,0.0,0.0,0.0,0,0,0.0,0,-1,5,1,1,13,4,1,1,0,0
149.171.126.14,47439,175.45.176.1,53,udp,INT,7e-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424253328,1424253328,0.007,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,37,37,6,6,6,6,37,0,0
59.166.0.8,50468,149.171.126.0,6881,tcp,FIN,0.013917,1540,1644,31,29,4,4,-,830063.9375,892721.125,16,18,255,255,3966628723,1823164482,96,91,0,0,62.376708,1.455781,1421963231,1421963231,0.9068,0.791765,0.000586,0.000454,0.000132,0,0,0.0,0,0,9,13,8,16,6,1,6,0,0
59.166.0.4,37848,149.171.126.5,9860,udp,CON,0.00157,536,304,31,29,0,0,-,2048407.75,1161783.5,4,4,0,0,0,0,134,76,0,0,0.561679,0.281899,1421963890,1421963890,0.401667,0.202333,0.0,0.0,0.0,0,0,0.0,0,0,16,16,6,6,1,1,2,0,0
59.166.0.4,43002,149.171.126.2,5960,tcp,FIN,0.398785,5048,3080,31,29,7,7,-,97656.63281,59741.46484,28,30,255,255,2406782599,2410059979,180,103,0,0,854.88529,22.040904,1424220471,1424220472,14.757777,13.732793,0.000643,0.00053,0.000113,0,0,0.0,0,-1,6,4,1,2,1,1,3,0,0
59.166.0.9,1151,149.171.126.8,49775,udp,CON,0.001823,528,304,31,29,0,0,-,1737794.875,1000548.5,4,4,0,0,0,0,132,76,0,0,0.653602,0.317026,1421934467,1421934467,0.467667,0.229667,0.0,0.0,0.0,0,0,0.0,0,0,10,13,5,3,1,1,3,0,0
59.166.0.6,3713,149.171.126.7,58111,tcp,FIN,0.010664,2230,14952,31,29,7,11,-,1624156.0,10905476.0,34,36,255,255,3421470915,3421788748,66,415,0,0,18.445572,15.299391,1424226425,1424226425,0.312152,0.287229,0.000722,0.000602,0.00012,0,0,0.0,0,-1,7,6,2,2,1,1,3,0,0
59.166.0.3,53875,149.171.126.8,30871,tcp,FIN,0.223519,8928,320,31,29,4,1,ftp-data,296744.3438,9556.234375,14,6,255,255,1164736787,2380581821,638,53,0,0,1586.996027,67.936234,1421953969,1421953969,17.19377,44.580602,0.000626,0.000484,0.000142,0,0,0.0,0,0,2,2,4,6,1,1,4,0,0
59.166.0.1,4155,149.171.126.8,46339,tcp,FIN,0.023906,3598,48918,31,29,7,24,-,1184305.25,16106082.0,60,62,255,255,430508603,2594173495,60,789,0,0,0.0,21.000864,1424222837,1424222837,0.406638,0.389967,0.000629,0.000505,0.000124,0,0,0.0,0,-1,10,6,4,5,1,1,6,0,0
59.166.0.8,50553,149.171.126.2,29032,udp,CON,0.001804,536,304,31,29,0,0,-,1782705.125,1011086.5,4,4,0,0,0,0,134,76,0,0,0.643467,0.330464,1421952356,1421952356,0.459,0.238667,0.0,0.0,0.0,0,0,0.0,0,0,12,8,3,3,1,1,2,0,0
59.166.0.7,35186,149.171.126.9,5190,tcp,FIN,0.622925,2918,17186,31,29,8,11,-,36550.14844,214228.0469,40,34,255,255,2475534510,330416640,73,505,0,0,1865.142481,2001.541428,1424223306,1424223307,16.392764,18.856576,0.000671,0.000533,0.000138,0,0,0.0,0,-1,6,3,2,7,1,1,1,0,0
59.166.0.6,60737,149.171.126.2,6881,tcp,FIN,0.434483,13454,548216,31,29,21,197,-,246674.7813,10071096.0,234,438,255,255,2408733709,2412326806,57,1252,0,0,114.93456,58.088751,1421960776,1421960777,1.863391,0.993135,0.000603,0.00048,0.000123,0,0,0.0,0,0,6,11,7,6,6,1,6,0,0
59.166.0.9,57996,149.171.126.5,6881,tcp,FIN,0.015779,1540,1644,31,29,4,4,-,732112.3125,787375.625,16,18,255,255,1413343516,3569255364,96,91,0,0,71.368999,1.481828,1421959683,1421959683,1.029333,0.900882,0.000601,0.00046,0.000141,0,0,0.0,0,0,9,12,6,5,4,1,5,0,0
59.166.0.3,41821,149.171.126.7,53,udp,CON,0.001033,130,162,31,29,0,0,dns,503388.2188,627299.1875,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421952485,1421952485,0.008,0.005,0.0,0.0,0.0,0,0,0.0,0,0,1,2,2,4,1,1,1,0,0
59.166.0.3,6701,149.171.126.3,4629,tcp,FIN,0.097958,3614,47774,31,29,7,24,-,290246.8438,3838706.5,60,62,255,255,1099928545,3267227179,60,771,0,0,90.032697,87.951252,1424224900,1424224900,1.655,1.597049,0.000657,0.000536,0.000121,0,0,0.0,0,-1,9,3,1,3,1,1,1,0,0
175.45.176.1,0,149.171.126.10,0,unas,INT,6e-06,200,0,254,0,0,0,-,133333328.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424237413,1424237413,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,4,4,2,2,2,2,4,1,1
59.166.0.3,53853,149.171.126.2,80,tcp,FIN,1.009839,1684,10168,31,29,3,5,-,12390.09277,76083.41406,14,18,255,255,1164834758,1165892219,120,565,1,3924,8769.888057,7683.544229,1421945234,1421945235,77.650151,59.359764,0.000841,0.000716,0.000125,0,0,6.0,0,0,14,10,8,7,4,4,4,0,0
59.166.0.3,7401,149.171.126.4,44007,tcp,FIN,0.005516,4200,2456,31,29,7,7,-,5753444.5,3364757.0,18,18,255,255,1039275861,1042390911,233,136,0,0,15.115337,0.380256,1421955509,1421955509,0.305353,0.291647,0.000716,0.000551,0.000165,0,0,0.0,0,0,13,10,6,4,1,1,2,0,0
59.166.0.9,36918,149.171.126.5,80,tcp,FIN,1.201602,1684,10168,31,29,3,5,http,10412.76563,63941.30469,14,18,255,255,3821581778,1677387585,120,565,1,3924,8928.371479,7819.606509,1424222990,1424222991,92.400849,70.649706,0.000707,0.000553,0.000154,0,0,1.0,0,-1,1,2,1,2,1,1,1,0,0
59.166.0.8,62962,149.171.126.2,80,tcp,FIN,1.066217,1684,10168,31,29,3,5,http,11734.94727,72060.38281,14,18,255,255,789529606,791014405,120,565,1,3924,9090.750654,7960.19519,1421962678,1421962679,81.988767,62.685588,0.00069,0.000553,0.000137,0,0,1.0,0,0,2,1,2,3,1,1,1,0,0
175.45.176.0,1043,149.171.126.10,53,udp,INT,1.1e-05,114,0,254,0,0,0,dns,41454544.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260096,1424260096,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,29,29,29,29,29,14,29,4,1
59.166.0.7,11660,149.171.126.2,6881,tcp,FIN,0.366896,1540,1644,31,29,4,4,-,31485.76172,33862.45703,16,18,255,255,2875369547,2887064253,96,91,0,0,1503.150997,43.10343,1424246428,1424246429,24.439001,21.552176,0.000633,0.000508,0.000125,0,0,0.0,0,-1,9,9,10,6,6,1,8,0,0
59.166.0.7,10693,149.171.126.2,5190,tcp,FIN,0.008698,4908,2448,31,29,9,6,-,4381697.0,2165095.5,34,26,255,255,585211155,585532168,144,94,0,0,16.23631,0.529698,1421943128,1421943128,0.263576,0.31972,0.00072,0.000573,0.000147,0,0,0.0,0,0,5,5,2,3,1,1,1,0,0
59.166.0.3,11095,149.171.126.0,53,udp,CON,0.001044,146,178,31,29,0,0,dns,559386.9375,681992.3125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421950527,1421950527,0.004,0.01,0.0,0.0,0.0,0,0,0.0,0,0,3,4,3,4,2,2,2,0,0
59.166.0.3,34439,149.171.126.8,6881,tcp,FIN,0.020379,1540,1644,31,29,4,4,-,566858.0625,609647.1875,16,18,255,255,2260546853,115572290,96,91,0,0,78.657926,2.347188,1421971199,1421971199,1.337667,1.170941,0.000593,0.000466,0.000127,0,0,0.0,0,0,9,10,7,10,6,1,6,0,0
175.45.176.3,1043,149.171.126.15,53,udp,INT,1e-06,114,0,254,0,0,0,dns,456000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424248212,1424248212,0.001,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,45,45,13,13,13,8,45,4,1
59.166.0.2,11083,149.171.126.0,11132,tcp,FIN,0.00931,2230,15236,31,29,7,11,-,1860365.25,12728679.0,34,36,255,255,2808487812,2808798696,66,423,0,0,15.971293,14.201023,1421953787,1421953787,0.270788,0.248914,0.000756,0.000588,0.000168,0,0,0.0,0,0,12,4,3,6,1,1,1,0,0
59.166.0.0,63848,149.171.126.0,40319,tcp,FIN,0.015898,2766,28892,31,29,7,16,-,1360674.25,14222669.0,44,46,255,255,1203320935,3349037527,63,628,0,0,21.228616,19.953196,1424233852,1424233852,0.362535,0.339378,0.000768,0.000617,0.000151,0,0,0.0,0,-1,7,4,4,4,1,1,3,0,0
59.166.0.1,3424,149.171.126.6,22,tcp,FIN,0.245862,3728,5474,31,29,7,7,ssh,117529.3438,170697.375,32,24,255,255,2708275761,2708578786,117,228,0,0,525.526697,16.161903,1421958665,1421958666,7.931033,10.656565,0.000802,0.000619,0.000183,0,0,0.0,0,0,1,1,9,2,1,1,1,0,0
59.166.0.9,58169,149.171.126.3,111,udp,CON,0.004494,568,312,31,29,0,0,-,758344.4375,416555.375,4,4,0,0,0,0,142,78,0,0,1.686452,1.454047,1421944577,1421944577,1.2,1.036667,0.0,0.0,0.0,0,0,0.0,0,0,5,8,5,4,1,1,3,0,0
59.166.0.9,57584,149.171.126.1,53,udp,CON,0.001081,146,178,31,29,0,0,dns,540240.5625,658649.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421967497,1421967497,0.011,0.013,0.0,0.0,0.0,0,0,0.0,0,0,4,2,3,1,1,1,1,0,0
59.166.0.0,24224,149.171.126.8,53,udp,CON,0.001004,146,178,31,29,0,0,dns,581673.3125,709163.375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421958242,1421958242,0.002,0.006,0.0,0.0,0.0,0,0,0.0,0,0,3,6,4,1,1,1,1,0,0
59.166.0.1,62178,149.171.126.6,53,udp,CON,0.001045,130,162,31,29,0,0,dns,497607.625,620095.6875,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424231435,1424231435,0.008,0.007,0.0,0.0,0.0,0,0,0.0,0,-1,1,4,3,1,1,1,1,0,0
59.166.0.6,16333,149.171.126.2,111,udp,CON,0.285429,568,312,31,29,0,0,-,11939.92188,6558.548828,4,4,0,0,0,0,142,78,0,0,45.283117,127.304203,1421960286,1421960286,32.024,90.020664,0.0,0.0,0.0,0,0,0.0,0,0,9,10,3,4,1,1,2,0,0
59.166.0.4,17012,149.171.126.4,21,tcp,FIN,0.02139,2934,3742,31,29,11,15,ftp,1076390.875,1373726.0,52,54,255,255,4056693802,4057688590,56,69,0,0,28.825286,0.671229,1424245997,1424245997,0.430102,0.400962,0.000677,0.000536,0.000141,0,0,0.0,1,1,1,1,3,4,1,1,3,0,0
59.166.0.0,53051,149.171.126.6,111,udp,CON,0.249368,568,304,31,29,0,0,-,13666.54883,7314.491211,4,4,0,0,0,0,142,76,0,0,110.30182,110.302766,1421971610,1421971610,78.004664,78.005336,0.0,0.0,0.0,0,0,0.0,0,0,10,7,5,5,1,1,3,0,0
175.45.176.1,1043,149.171.126.18,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424237491,1424237491,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,23,23,8,8,8,4,23,4,1
